player_name,group,match_id,team_1,team_2,pred_goal_1,pred_goal_2,Date,Time
Luki,A,A17,DE,HUN,3,1,22/05/2026,15:20
Stefan,A,A17,DE,HUN,5,0,22/05/2026,15:20
Susanne,A,A17,DE,HUN,4,1,22/05/2026,15:20
Charlotte,A,A17,DE,HUN,3,2,22/05/2026,15:20
Nina,A,A18,FIN,GB,3,0,22/05/2026,19:20
Saoirse,A,A18,FIN,GB,4,1,22/05/2026,19:20
Luki,A,A18,FIN,GB,7,0,22/05/2026,19:20
Stefan,A,A18,FIN,GB,6,1,22/05/2026,19:20
Susanne,A,A18,FIN,GB,3,1,22/05/2026,19:20
Charlotte,A,A18,FIN,GB,3,1,22/05/2026,19:20
Nina,A,A19,LAT,USA,1,3,23/05/2026,11:20
Saoirse,A,A19,LAT,USA,0,4,23/05/2026,11:20
Luki,A,A19,LAT,USA,1,6,23/05/2026,11:20
Stefan,A,A19,LAT,USA,2,5,23/05/2026,11:20
Susanne,A,A19,LAT,USA,1,4,23/05/2026,11:20
Charlotte,A,A19,LAT,USA,0,5,23/05/2026,11:20
Nina,A,A20,HUN,SUI,0,3,23/05/2026,15:20
Saoirse,A,A20,HUN,SUI,1,3,23/05/2026,15:20
Luki,A,A20,HUN,SUI,2,4,23/05/2026,15:20
Stefan,A,A20,HUN,SUI,1,6,23/05/2026,15:20
Susanne,A,A20,HUN,SUI,0,1,23/05/2026,15:20
Charlotte,A,A20,HUN,SUI,1,5,23/05/2026,15:20
Nina,A,A21,AUT,DE,1,3,23/05/2026,19:20
Saoirse,A,A21,AUT,DE,0,3,23/05/2026,19:20
Luki,A,A21,AUT,DE,1,3,23/05/2026,19:20
Stefan,A,A21,AUT,DE,3,5,23/05/2026,19:20
Susanne,A,A21,AUT,DE,2,1,23/05/2026,19:20
Charlotte,A,A21,AUT,DE,1,3,23/05/2026,19:20
Nina,A,A22,GB,LAT,0,2,24/05/2026,15:20
Saoirse,A,A22,GB,LAT,1,0,24/05/2026,15:20
Luki,A,A22,GB,LAT,1,3,24/05/2026,15:20
Stefan,A,A22,GB,LAT,2,4,24/05/2026,15:20
Susanne,A,A22,GB,LAT,1,2,24/05/2026,15:20
Charlotte,A,A22,GB,LAT,0,3,24/05/2026,15:20
Nina,A,A23,AUT,FIN,1,3,24/05/2026,19:20
Saoirse,A,A23,AUT,FIN,1,3,24/05/2026,19:20
Luki,A,A23,AUT,FIN,0,4,24/05/2026,19:20
Stefan,A,A23,AUT,FIN,1,5,24/05/2026,19:20
Susanne,A,A23,AUT,FIN,1,2,24/05/2026,19:20
Charlotte,A,A23,AUT,FIN,0,4,24/05/2026,19:20
